timestamp, frame, x, y, z, qx, qy, qz, qw
258528.330141458, 000000, -0.029284708, 0.33176774, 0.21466155, 0.9932214, 0.0001717443, -0.11562442, -0.011923932
258528.346809458, 000001, -0.029221935, 0.33186936, 0.21446301, 0.99313486, 0.00021494846, -0.11627213, -0.012804205
258528.363477583, 000002, -0.029274369, 0.3319379, 0.21410953, 0.99311656, 0.00041233888, -0.11635424, -0.013450938
258528.380145291, 000003, -0.029219588, 0.331967, 0.21388711, 0.9931655, 0.00038620827, -0.115834504, -0.014299104
258528.396813625, 000004, -0.029100172, 0.33194783, 0.21368612, 0.9931597, 0.00022985908, -0.11577861, -0.015130433
258528.413481375, 000005, -0.02898375, 0.3318721, 0.21336308, 0.9931228, 0.0002433639, -0.11613316, -0.0148338
258528.430149333, 000006, -0.028854651, 0.3317641, 0.2129753, 0.9930465, 0.00023497922, -0.11679298, -0.014763777
258528.446817333, 000007, -0.028691791, 0.3316637, 0.21256188, 0.99296737, -1.4878262e-05, -0.11739309, -0.015317006
258528.463485375, 000008, -0.028361477, 0.33187982, 0.21197706, 0.9929336, -0.00055044296, -0.11754363, -0.016314099
258528.480153291, 000009, -0.028045125, 0.3318756, 0.21152617, 0.9929514, -0.0012425252, -0.117207624, -0.017558957
258528.4968215, 000010, -0.027758187, 0.3317582, 0.21104616, 0.99297917, -0.001868867, -0.116867095, -0.018192954
258528.513489208, 000011, -0.027502384, 0.33159336, 0.21046464, 0.99301696, -0.0021455903, -0.11662292, -0.017655654
258528.530157541, 000012, -0.02722658, 0.33144802, 0.20984034, 0.9930409, -0.0023726574, -0.11654799, -0.016752072
258528.546825208, 000013, -0.025845258, 0.3314703, 0.20909563, 0.9930522, -0.0026164928, -0.11654156, -0.01608043
258528.56349325, 000014, -0.02515132, 0.33141163, 0.20840792, 0.9930558, -0.0031396444, -0.11646062, -0.016343992
258528.580161208, 000015, -0.024679817, 0.33131394, 0.20771345, 0.993044, -0.00418591, -0.116278216, -0.018038554
258528.596829166, 000016, -0.024276244, 0.3311873, 0.20697951, 0.9930461, -0.0052090543, -0.11586223, -0.020203562
258528.613497208, 000017, -0.023863252, 0.33103707, 0.2061993, 0.99303836, -0.005898816, -0.11558825, -0.021892482
258528.6301655, 000018, -0.023402058, 0.33088008, 0.20537657, 0.99301344, -0.0061547626, -0.11556355, -0.023052
258528.646833166, 000019, -0.024303041, 0.329904, 0.20537223, 0.99300796, -0.0061047873, -0.11542909, -0.023957247
258528.663501208, 000020, -0.024302445, 0.3294339, 0.20479408, 0.99302596, -0.005809798, -0.115248084, -0.024157
258528.680169208, 000021, -0.024005717, 0.32915217, 0.20399886, 0.993062, -0.005486794, -0.115059, -0.023645598
258528.696837291, 000022, -0.023583211, 0.32898554, 0.20316125, 0.99309057, -0.005461464, -0.11493004, -0.023072721
258528.713505125, 000023, -0.023056086, 0.32889727, 0.20237744, 0.99308044, -0.0056770407, -0.11500742, -0.023068663
258528.730173166, 000024, -0.022453127, 0.3288545, 0.20162693, 0.99303997, -0.005721757, -0.11536496, -0.023017542
258528.746841125, 000025, -0.021841213, 0.3288125, 0.20088479, 0.99298054, -0.005645235, -0.11585958, -0.023113545
258528.763509291, 000026, -0.021192387, 0.328768, 0.20012267, 0.99293154, -0.0055392417, -0.11622924, -0.02338753
258528.780177041, 000027, -0.019186532, 0.32886386, 0.1995475, 0.9928945, -0.0054005124, -0.11655419, -0.023377601
258528.796845125, 000028, -0.017999163, 0.32889962, 0.19877936, 0.9928568, -0.0051511033, -0.117011264, -0.022739789
258528.813513083, 000029, -0.017060243, 0.32889622, 0.19789414, 0.9928115, -0.004561767, -0.1177212, -0.021122228
258528.83018125, 000030, -0.016163232, 0.32887912, 0.19691902, 0.9927634, -0.0037222493, -0.118574895, -0.018625583
258528.846849041, 000031, -0.015232839, 0.32887727, 0.19589604, 0.9926853, -0.0029810225, -0.119540334, -0.016641963
258528.863517, 000032, -0.014255462, 0.32892525, 0.19481596, 0.99258107, -0.0026703824, -0.12048782, -0.016074972
258528.880185, 000033, -0.012417244, 0.32891476, 0.19224103, 0.9924645, -0.00267376, -0.1213981, -0.016418418
258528.896853208, 000034, -0.011117315, 0.32896844, 0.19051331, 0.99232066, -0.0029483703, -0.12244989, -0.017233724
258528.913520958, 000035, -0.009947867, 0.3290007, 0.18902066, 0.9921391, -0.0033401924, -0.123771906, -0.018148405
